"%s Item(s)","%s Sản phẩm"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2012 Magento Viet Nam Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"-- Please Select --","-- Mời bạn chọn --"
"1 column","1 column"
"2 columns with left bar","2 columns with left bar"
"2 columns with right bar","2 columns with right bar"
"3 columns","3 columns"
"About the calendar","About the calendar"
"All Empty Layout Pages","All Empty Layout Pages"
"All One-Column Layout Pages","All One-Column Layout Pages"
"All Pages","All Pages"
"All Pages (Print Version)","All Pages (Print Version)"
"All Three-Column Layout Pages","All Three-Column Layout Pages"
"All Two-Column Layout Pages (Left Column)","All Two-Column Layout Pages (Left Column)"
"All Two-Column Layout Pages (Right Column)","All Two-Column Layout Pages (Right Column)"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Close"
"Close Window","Close Window"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Date selection:"
"Default Description","Default Description"
"Default welcome msg!","Default welcome msg!"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"Empty","Empty"
"For latest version visit: %s","For latest version visit: %s"
"Free Shipping on orders over 50$","Free Shipping on orders over 50$"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Interface Language","Interface Language"
"Items %s to %s of %s total","Items %s to %s of %s total"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"Left Column","Left Column"
"Main Content Area","Main Content Area"
"Navigation Bar","Navigation Bar"
"Next","Next"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page Bottom","Page Bottom"
"Page Footer","Page Footer"
"Page Header","Page Header"
"Page Top","Page Top"
"Page:","Page:"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous","Previous"
"Redirecting...","Redirecting..."
"Report All Bugs","Report All Bugs"
"Right Column","Right Column"
"Select Store","Select Store"
"Select Store:","Select Store:"
"Select date","Chọn ngày"
"Show","Show"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled."
"Time selection:","Time selection:"
"Time:","Time:"
"Welcome, %s!","Xin chào, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","You must have JavaScript enabled in your browser to utilize the functionality of this website."
"Your Language","Ngôn ngữ"
"Your Language:","Ngôn ngữ:"
"per page","trang"
"Home", "Trang chủ"
"Services", "Dịch vụ"
"About", "Giới thiệu"
"Portfolio", "Khách hàng"
"Requirement Understanding", "Tiếp nhận yêu cầu của khách hàng"
"Planning & Time Management", "Lập kế hoạch & Thời gian phát triển"
"Start Design and Coding", "Thiết kế giao diện Lập trình chức năng"
"Test and Deliver within deadline", "Kiểm tra chất lượng và Nghiệm thu"
"TTS TECH COMPANY", "CTY TNHH CÔNG NGHỆ TIẾP THỊ SỐ"
"Total solution ecommerce", "Giải pháp tổng thể cho Thương mại điện tử"
"Testimonials", "Khách hàng nói về chúng tôi"
"Focusing on requirements, analyze project requirements. Review project plans to fit the time and cost.", "Tập trung vào yêu cầu, phân tích yêu cầu dự án. Xem xét kế hoạch dự án để phù hợp với thời gian thực và chi phí."
"Check the quality of the project, data input, user manual. Consulting and marketing plan online marketing, brand advertising, product ...", "Kiểm tra chất lượng dự án, nhập liệu data, hướng dẫn sử dụng. Tư vấn marketing và kế hoạch marketing online, quảng cáo thương hiệu, sản phẩm..."
"Strategic planning is critical to business success, as well as eCommerce website development. For the past 6 years, we have worked with clients of all sizes to offer them the best eCommerce solutions, from concept to creation.", "Lập kế hoạch chiến lược là rất quan trọng cho sự thành công kinh doanh, cũng như phát triển trang web thương mại điện tử. Trong 6 năm qua, chúng tôi đã làm việc với các khách hàng thuộc mọi quy mô để cung cấp cho họ các giải pháp thương mại điện tử tốt nhất, từ ý tưởng đến sáng tạo."
"Our user-centered design approach is based on usability research involving rounds of brainstorming, rapid prototyping, and thorough user testing. With 6 years of extensive experience, we can help bridge the gap between your website and the potential customers.", "Với 6 năm kinh nghiệm trong việc phát triển thương mại điện tử, chúng tôi tự tin vào khả năng thành công trong việc thiết kế và phát triển hệ thống."
"Information", "Thông tin chung"
